student_id,phase,class,name,birth_year,age_2022,gender,admission_year,school_institution,inde_2022,iaa,ieg,ips,ida,math,portuguese,english,indicated_for_intervention,achieved_turning_point,ipv,ian,Fase ideal,deficiency,year,Defasagem,Ativo/ Inativo,Pedra 2023,Nome Anonimizado,age,Fase Ideal,inde_2023,ipp,Data de Nasc,inde_2024
RA-1,7,A,Aluno-1,2003.0,19.0,Menina,2016,Escola Pública,5.783,8.3,4.1,5.6,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-2,7,A,Aluno-2,2005.0,17.0,Menina,2017,Rede Decisão,7.055,8.8,5.2,6.3,6.8,6.3,4.5,9.7,Não,Não,6.778,10.0,Fase 7 (3º EM),0.0,PEDE2022,,,,,,,,,,
RA-3,7,A,Aluno-3,2005.0,17.0,Menina,2016,Rede Decisão,6.591,0.0,7.9,5.6,5.6,5.8,4.0,6.9,Não,Não,7.556,10.0,Fase 7 (3º EM),0.0,PEDE2022,,,,,,,,,,
RA-4,7,A,Aluno-4,2005.0,17.0,Menino,2017,Rede Decisão,5.951,8.8,4.5,5.6,5.0,2.8,3.5,8.7,Não,Não,5.278,10.0,Fase 7 (3º EM),0.0,PEDE2022,,,,,,,,,,
RA-5,7,A,Aluno-5,2005.0,17.0,Menina,2016,Rede Decisão,7.427,7.9,8.6,5.6,5.2,7.0,2.9,5.7,Não,Não,7.389,10.0,Fase 7 (3º EM),0.0,PEDE2022,,,,,,,,,,
RA-6,7,A,Aluno-6,2004.0,18.0,Menina,2021,Escola Pública,5.848,7.9,4.5,7.5,3.3,2.3,5.3,2.3,Sim,Não,7.222,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-7,7,A,Aluno-7,2004.0,18.0,Menino,2017,Rede Decisão,6.818,0.0,8.4,7.5,7.6,8.2,5.7,9.0,Não,Não,7.667,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-8,7,A,Aluno-8,2002.0,20.0,Menina,2018,Escola Pública,4.786,7.1,4.6,6.3,1.6,1.2,0.7,2.9,Não,Não,6.278,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-9,7,A,Aluno-9,2004.0,18.0,Menina,2019,Escola Pública,8.109,8.8,9.5,7.5,6.7,5.5,6.0,8.7,Sim,Sim,9.5,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-10,7,A,Aluno-10,2004.0,18.0,Menina,2021,Escola Pública,5.784,8.3,5.2,5.0,4.1,3.3,2.6,6.4,Não,Não,7.056,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-11,7,A,Aluno-11,2004.0,18.0,Menina,2016,Escola Pública,5.323,9.2,4.2,5.0,3.0,1.8,2.5,4.5,Não,Não,6.389,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-12,7,A,Aluno-12,2005.0,17.0,Menina,2020,Escola Pública,4.832,0.0,4.0,6.9,1.5,2.7,1.1,0.7,Sim,Não,6.389,10.0,Fase 7 (3º EM),0.0,PEDE2022,,,,,,,,,,
RA-13,7,A,Aluno-13,2004.0,18.0,Menino,2016,Escola Pública,6.902,7.9,7.4,7.5,4.7,3.5,5.5,5.2,Sim,Não,8.056,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-14,7,D,Aluno-14,2001.0,21.0,Menino,2022,Escola Pública,6.793,7.9,8.3,7.5,4.0,8.0,0.0,,Sim,Não,7.75,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-15,7,D,Aluno-15,2004.0,18.0,Menino,2022,Escola Pública,7.783,8.8,10.0,7.5,7.3,8.0,6.5,,Sim,Não,7.292,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-16,7,D,Aluno-16,2003.0,19.0,Menino,2022,Escola Pública,6.112,7.9,8.3,5.0,3.5,7.0,0.0,,Sim,Não,6.333,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-17,7,D,Aluno-17,2002.0,20.0,Menino,2022,Escola Pública,8.068,8.8,10.0,7.5,7.8,9.0,6.5,,Sim,Não,8.292,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
RA-18,7,D,Aluno-18,2003.0,19.0,Menino,2022,Escola Pública,7.226,6.3,8.7,6.3,9.0,9.0,9.0,,Sim,Não,6.875,5.0,Fase 8 (Universitários),-1.0,PEDE2022,,,,,,,,,,
