student_id,phase,class,name,birth_year,age_2022,gender,admission_year,school_institution,inde_2022,iaa,ieg,ips,ida,math,portuguese,english,indicated_for_intervention,achieved_turning_point,ipv,ian,Fase ideal,deficiency,year,age,Fase Ideal,inde_2023,Data de Nasc,inde_2024,Nome Anonimizado,Ativo/ Inativo,ipp,Defasagem,Pedra 2023,ideal_phase
RA-1,7,A,Aluno-1,2003.0,19.0,Feminino,2016,Escola Pública,5.783,8.3,4.1,5.6,4.0,2.7,3.5,6.0,Sim,,7.278,5.0,Fase 8 (Universitários),0.0,PEDE2022,19.0,,,,,,,,,,Fase 8 (Universitários)
RA-2,7,A,Aluno-2,2005.0,17.0,Feminino,2017,Rede Decisão,7.055,8.8,5.2,6.3,6.8,6.3,4.5,9.7,,,6.778,10.0,Fase 7 (3º EM),0.0,PEDE2022,17.0,,,,,,,,,,Fase 7 (3º EM)
RA-3,7,A,Aluno-3,2005.0,17.0,Feminino,2016,Rede Decisão,6.591,0.0,7.9,5.6,5.6,5.8,4.0,6.9,,,7.556,10.0,Fase 7 (3º EM),0.0,PEDE2022,17.0,,,,,,,,,,Fase 7 (3º EM)
RA-4,7,A,Aluno-4,2005.0,17.0,Masculino,2017,Rede Decisão,5.951,8.8,4.5,5.6,5.0,2.8,3.5,8.7,,,5.278,10.0,Fase 7 (3º EM),0.0,PEDE2022,17.0,,,,,,,,,,Fase 7 (3º EM)
RA-5,7,A,Aluno-5,2005.0,17.0,Feminino,2016,Rede Decisão,7.427,7.9,8.6,5.6,5.2,7.0,2.9,5.7,,,7.389,10.0,Fase 7 (3º EM),0.0,PEDE2022,17.0,,,,,,,,,,Fase 7 (3º EM)
RA-6,7,A,Aluno-6,2004.0,18.0,Feminino,2021,Escola Pública,5.848,7.9,4.5,7.5,3.3,2.3,5.3,2.3,Sim,,7.222,5.0,Fase 8 (Universitários),0.0,PEDE2022,18.0,,,,,,,,,,Fase 8 (Universitários)
RA-7,7,A,Aluno-7,2004.0,18.0,Masculino,2017,Rede Decisão,6.818,0.0,8.4,7.5,7.6,8.2,5.7,9.0,,,7.667,5.0,Fase 8 (Universitários),0.0,PEDE2022,18.0,,,,,,,,,,Fase 8 (Universitários)
RA-8,7,A,Aluno-8,2002.0,20.0,Feminino,2018,Escola Pública,4.786,7.1,4.6,6.3,1.6,1.2,0.7,2.9,,,6.278,5.0,Fase 8 (Universitários),0.0,PEDE2022,20.0,,,,,,,,,,Fase 8 (Universitários)
RA-9,7,A,Aluno-9,2004.0,18.0,Feminino,2019,Escola Pública,8.109,8.8,9.5,7.5,6.7,5.5,6.0,8.7,Sim,Sim,9.5,5.0,Fase 8 (Universitários),0.0,PEDE2022,18.0,,,,,,,,,,Fase 8 (Universitários)
RA-10,7,A,Aluno-10,2004.0,18.0,Feminino,2021,Escola Pública,5.784,8.3,5.2,5.0,4.1,3.3,2.6,6.4,,,7.056,5.0,Fase 8 (Universitários),0.0,PEDE2022,18.0,,,,,,,,,,Fase 8 (Universitários)
RA-11,7,A,Aluno-11,2004.0,18.0,Feminino,2016,Escola Pública,5.323,9.2,4.2,5.0,3.0,1.8,2.5,4.5,,,6.389,5.0,Fase 8 (Universitários),0.0,PEDE2022,18.0,,,,,,,,,,Fase 8 (Universitários)
RA-12,7,A,Aluno-12,2005.0,17.0,Feminino,2020,Escola Pública,4.832,0.0,4.0,6.9,1.5,2.7,1.1,0.7,Sim,,6.389,10.0,Fase 7 (3º EM),0.0,PEDE2022,17.0,,,,,,,,,,Fase 7 (3º EM)
RA-13,7,A,Aluno-13,2004.0,18.0,Masculino,2016,Escola Pública,6.902,7.9,7.4,7.5,4.7,3.5,5.5,5.2,Sim,,8.056,5.0,Fase 8 (Universitários),0.0,PEDE2022,18.0,,,,,,,,,,Fase 8 (Universitários)
RA-14,7,D,Aluno-14,2001.0,21.0,Masculino,2022,Escola Pública,6.793,7.9,8.3,7.5,4.0,8.0,0.0,,Sim,,7.75,5.0,Fase 8 (Universitários),0.0,PEDE2022,21.0,,,,,,,,,,Fase 8 (Universitários)
RA-15,7,D,Aluno-15,2004.0,18.0,Masculino,2022,Escola Pública,7.783,8.8,10.0,7.5,7.3,8.0,6.5,,Sim,,7.292,5.0,Fase 8 (Universitários),0.0,PEDE2022,18.0,,,,,,,,,,Fase 8 (Universitários)
RA-16,7,D,Aluno-16,2003.0,19.0,Masculino,2022,Escola Pública,6.112,7.9,8.3,5.0,3.5,7.0,0.0,,Sim,,6.333,5.0,Fase 8 (Universitários),0.0,PEDE2022,19.0,,,,,,,,,,Fase 8 (Universitários)
RA-17,7,D,Aluno-17,2002.0,20.0,Masculino,2022,Escola Pública,8.068,8.8,10.0,7.5,7.8,9.0,6.5,,Sim,,8.292,5.0,Fase 8 (Universitários),0.0,PEDE2022,20.0,,,,,,,,,,Fase 8 (Universitários)
RA-18,7,D,Aluno-18,2003.0,19.0,Masculino,2022,Escola Pública,7.226,6.3,8.7,6.3,9.0,9.0,9.0,,Sim,,6.875,5.0,Fase 8 (Universitários),0.0,PEDE2022,19.0,,,,,,,,,,Fase 8 (Universitários)
RA-19,7,D,Aluno-19,2003.0,19.0,Feminino,2022,Escola Pública,7.665,7.9,9.5,7.5,8.0,7.0,9.0,,Sim,,7.0,5.0,Fase 8 (Universitários),0.0,PEDE2022,19.0,,,,,,,,,,Fase 8 (Universitários)
RA-20,7,D,Aluno-20,2003.0,19.0,Feminino,2022,Escola Pública,7.535,7.1,10.0,6.3,7.8,9.0,6.5,,Sim,,7.167,5.0,Fase 8 (Universitários),0.0,PEDE2022,19.0,,,,,,,,,,Fase 8 (Universitários)
RA-21,7,D,Aluno-21,2004.0,18.0,Masculino,2022,Escola Pública,6.945,9.6,9.2,7.5,3.8,7.0,0.5,,Sim,,7.25,5.0,Fase 8 (Universitários),0.0,PEDE2022,18.0,,,,,,,,,,Fase 8 (Universitários)
